id,stateAbbr,stateName,collectionsPerCapita
0,US,United States,1007
2,AK,Alaska,286
4,AZ,Arizona,1323
5,AR,Arkansas,1271
6,CA,California,1082
8,CO,Colorado,1054
9,CT,Connecticut,1054
10,DE,Delaware,0
11,DC,District of Columbia,1773
12,FL,Florida,1106
13,GA,Georgia,929
15,HI,Hawaii,2088
16,ID,Idaho,770
17,IL,Illinois,749
18,IN,Indiana,1015
19,IA,Iowa,1047
20,KS,Kansas,1291
21,KY,Kentucky,698
22,LA,Louisiana,1451
23,ME,Maine,801
24,MD,Maryland,695
25,MA,Massachusetts,767
26,MI,Michigan,904
27,MN,Minnesota,944
28,MS,Mississippi,1030
29,MO,Missouri,868
30,MT,Montana,0
31,NE,Nebraska,1021
32,NV,Nevada,1374
33,NH,New Hampshire,0
34,NJ,New Jersey,915
35,NM,New Mexico,1407
36,NY,New York,1276
37,NC,North Carolina,806
38,ND,North Dakota,1850
39,OH,Ohio,874
40,OK,Oklahoma,1133
41,OR,Oregon,0
42,PA,Pennsylvania,770
44,RI,Rhode Island,802
45,SC,South Carolina,702
46,SD,South Dakota,1382
47,TN,Tennessee,1325
48,TX,Texas,1182
49,UT,Utah,881
50,VT,Vermont,561
51,VA,Virginia,559
53,WA,Washington,1907
54,WV,West Virginia,688
55,WI,Wisconsin,809
56,WY,Wyoming,2103

