id,stateAbbr,stateName,stateGeneralSalesTax,groceryTreatment,candyTreatedasGroceries,sodaTreatedasGroceries
0,US,United States,0.04,Included in Base,TRUE,TRUE
1,AL,Alabama,0,0,0,0
2,AK,Alaska,0.056,Exempt,TRUE,TRUE
4,AZ,Arizona,0.065,1.50%,TRUE,TRUE
5,AR,Arkansas,0.075,Exempt,TRUE,FALSE
6,CA,California,0.029,Exempt,FALSE,FALSE
8,CO,Colorado,0.0635,Exempt,FALSE,FALSE
9,CT,Connecticut,0,0,0,0
10,DE,Delaware,0.0575,Exempt,TRUE,FALSE
12,FL,Florida,0.06,Exempt,FALSE,FALSE
13,GA,Georgia,0.04,Exempt,TRUE,TRUE
15,HI,Hawaii,0.04,Included in Base,TRUE,TRUE
16,ID,Idaho,0.06,Included in Base,TRUE,TRUE
17,IL,IlliFalseis,0.0625,1.00%,FALSE,FALSE
18,IN,Indiana,0.07,Exempt,FALSE,FALSE
19,IA,Iowa,0.06,Exempt,FALSE,FALSE
20,KS,Kansas,0.0615,Included in Base,TRUE,TRUE
21,KY,Kentucky,0.06,Exempt,FALSE,FALSE
22,LA,Louisiana,0.04,Exempt,TRUE,TRUE
23,ME,Maine,0.055,Exempt,FALSE,FALSE
24,MD,Maryland,0.06,Exempt,FALSE,FALSE
25,MA,Massachusetts,0.0625,Exempt,TRUE,TRUE
26,MI,Michigan,0.06,Exempt,TRUE,TRUE
27,MN,Minnesota,0.0688,Exempt,FALSE,FALSE
28,MS,Mississippi,0.07,Included in Base,TRUE,TRUE
29,MO,Missouri,0.0423,1.23%,TRUE,TRUE
30,MT,Montana,0,0,0,0
31,NE,Nebraska,0.055,Exempt,TRUE,TRUE
32,NV,Nevada,0.0685,Exempt,TRUE,TRUE
33,NH,New Hampshire,0,0,0,0
34,NJ,New Jersey,0.07,Exempt,FALSE,FALSE
35,NM,New Mexico,0.0513,Exempt,TRUE,TRUE
36,NY,New York,0.04,Exempt,FALSE,FALSE
37,NC,Falserth Carolina,0.0475,Exempt,FALSE,FALSE
38,ND,Falserth Dakota,0.05,Exempt,FALSE,FALSE
39,OH,Ohio,0.0575,Exempt,TRUE,FALSE
40,OK,Oklahoma,0.045,Included in Base,TRUE,TRUE
41,OR,Oregon,0,0,0,0
42,PA,Pennsylvania,0.06,Exempt,TRUE,FALSE
44,RI,Rhode Island,0.07,Exempt,FALSE,FALSE
45,SC,South Carolina,0.06,Exempt,TRUE,TRUE
46,SD,South Dakota,0.04,Included in Base,TRUE,TRUE
47,TN,Tennessee,0.07,5.00%,TRUE,TRUE
48,TX,Texas,0.0625,Exempt,FALSE,FALSE
49,UT,Utah,0.057,1.75%,TRUE,TRUE
50,VT,Vermont,0.06,Exempt,TRUE,TRUE
51,VA,Virginia,0.053,2.50%,TRUE,TRUE
53,WA,Washington,0.065,Exempt,TRUE,FALSE
54,WV,West Virginia,0.06,Exempt,FALSE,FALSE
55,WI,Wisconsin,0.05,Exempt,FALSE,FALSE
56,WY,Wyoming,0.04,Exempt,TRUE,TRUE
